timestamp,step,throughput,en_cons,rlf,on_cost,latency_cell_ms,latency_ue_ms,reward_es,reward_ts,total_reward
1760994684853,2,21.42252,5536.00001,0.0,0.0,304.129123,304.129123,1064815.4143692316
1760994684953,3,18.67736,5470.0,1.0,0.0,408.924505,408.924505,932828.9386613242
1760994685053,4,19.25964,5679.0,1.0,0.0,539.707035,539.707035,961903.2090439448
1760994685153,5,25.30444,5212.0,0.0,0.0,670.5476479999999,670.5476479999999,1264232.1194178527
1760994685253,6,20.76301,5437.0,0.0,0.0,838.5568759999999,838.5568759999999,1036084.8142164686
1760994685353,7,23.97003,5325.0,1.0,0.0,952.2068909999999,952.2068909999999,1194454.6571689665
1760994685453,8,20.98289,5920.0,0.0,0.0,1046.435382,1046.435382,1044645.6430346927
1760994685553,9,18.89857,5321.0,1.0,0.0,1211.9213660000003,1211.9213660000003,941895.6482117951
1760994685653,10,19.60534,4972.0,0.0,0.0,1307.0620030000002,1307.0620030000002,975543.9039406995
1760994685753,11,19.07844,5159.0,0.0,0.0,1539.527085,1539.527085,950001.4290709373
1760994685853,12,18.88718,4923.0,0.0,0.0,1721.353534,1721.353534,941553.1317969699
1760994685953,13,18.28387,5561.0,0.0,0.0,1984.3318469999997,1984.3318469999997,912080.5223502229
1760994686053,14,20.35378,6154.0,0.0,0.0,2095.4353430000006,2095.4353430000006,1013012.1456846985
1760994686153,15,19.50324,5692.0,0.0,0.0,2180.232237,2180.232237,970836.2529651644
1760994686253,16,19.06442,5310.0,0.0,0.0,2331.0398339999997,2331.0398339999997,949185.5503440249
1760994686353,17,21.64101,5572.0,1.0,0.0,2555.425571,2555.425571,1078874.3766861644
1760994686453,18,29.2639,5851.0,1.0,0.0,2501.0497680000003,2501.0497680000003,1457636.4748425349
1760994686553,19,23.15612,5863.0,2.0,0.0,2745.3823850000003,2745.3823850000003,1150007.8981926423
1760994686653,20,26.18745,5385.0,1.0,0.0,3043.1837840000003,3043.1837840000003,1305279.7435224324
1760994686753,21,27.5823,5641.0,1.0,0.0,2950.9468230000007,2950.9468230000007,1372684.1173579765
1760994686853,22,27.94676,5796.0,3.0,0.0,3175.2721740000006,3175.2721740000006,1392932.463709174
1760995865845,0,17.00791,5264.0,0.0,0.0,101.27728,101.27728,846395.344808408
1760995865945,1,19.98471,5603.00001,0.0,0.0,164.072314,164.072314,993913.1253796528
1760995866045,2,22.70148,5631.00001,0.0,0.0,306.12383,306.12383,1129725.0040719255
1760995866145,3,26.17463,5637.0,0.0,0.0,414.20879599999995,414.20879599999995,1306589.8778686805
1760995866245,4,25.0547,6587.0,0.0,0.0,544.979659,544.979659,1250232.358253051
1760995866345,5,22.19902,6321.0,0.0,0.0,670.038657,670.038657,1105147.4394942014
1760995866445,6,22.22759,6871.0,0.0,0.0,838.4160540000001,838.4160540000001,1108768.894237592
1760995866545,7,24.63907,5751.0,0.0,0.0,981.9982179999998,981.9982179999998,1225397.7127002673
1760995866645,8,23.48544,5244.0,0.0,0.0,1152.08544,1152.08544,1170286.887187184
1760995866745,9,21.95074,5920.0,0.0,0.0,1249.549427,1249.549427,1093038.112567586
1760995866845,10,21.84835,5280.0,0.0,0.0,1324.3507069999998,1324.3507069999998,1087401.801347394
1760995866945,11,24.81389,6027.0,0.0,0.0,1620.6321719999999,1620.6321719999999,1234969.1069051742
1760995867045,12,26.33911,6000.0,0.0,0.0,1747.3923049999999,1747.3923049999999,1311255.7378911544
1760995867145,13,22.08523,6305.0,0.0,0.0,1927.564848,1927.564848,1099469.9108652729
1760995867245,14,23.97741,6408.0,0.0,0.0,2060.526238,2060.526238,1194000.6109210642
1760995867345,15,17.90147,5461.0,0.0,0.0,2313.633647,2313.633647,890923.2929549529
1760995867445,16,19.74215,5417.0,0.0,0.0,2508.643075,2508.643075,986078.3937035388
