timestamp,step,EEKPI_RL_2,EEKPI_RL_3,EEKPI_RL_4,EEKPI_RL_5,EEKPI_RL_6,EEKPI_RL_7,EEKPI_RL_8,ES_ON_COST_2,ES_ON_COST_3,ES_ON_COST_4,ES_ON_COST_5,ES_ON_COST_6,ES_ON_COST_7,ES_ON_COST_8,QosFlow.PdcpPduVolumeDL_Filter_2,QosFlow.PdcpPduVolumeDL_Filter_3,QosFlow.PdcpPduVolumeDL_Filter_4,QosFlow.PdcpPduVolumeDL_Filter_5,QosFlow.PdcpPduVolumeDL_Filter_6,QosFlow.PdcpPduVolumeDL_Filter_7,QosFlow.PdcpPduVolumeDL_Filter_8,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_2,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_3,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_4,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_5,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_6,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_7,DRB.PdcpSduDelayDl.UEID (pdcpLatency)_8,RLF_Counter_2,RLF_Counter_3,RLF_Counter_4,RLF_Counter_5,RLF_Counter_6,RLF_Counter_7,RLF_Counter_8,RLF_VALUE_2,RLF_VALUE_3,RLF_VALUE_4,RLF_VALUE_5,RLF_VALUE_6,RLF_VALUE_7,RLF_VALUE_8,RRU_PRBTOTDL_2,RRU_PRBTOTDL_3,RRU_PRBTOTDL_4,RRU_PRBTOTDL_5,RRU_PRBTOTDL_6,RRU_PRBTOTDL_7,RRU_PRBTOTDL_8,RRU.PrbUsedDl_2,RRU.PrbUsedDl_3,RRU.PrbUsedDl_4,RRU.PrbUsedDl_5,RRU.PrbUsedDl_6,RRU.PrbUsedDl_7,RRU.PrbUsedDl_8,TB_TOTNBRDLINITIAL_64QAM_RATIO_2,TB_TOTNBRDLINITIAL_64QAM_RATIO_3,TB_TOTNBRDLINITIAL_64QAM_RATIO_4,TB_TOTNBRDLINITIAL_64QAM_RATIO_5,TB_TOTNBRDLINITIAL_64QAM_RATIO_6,TB_TOTNBRDLINITIAL_64QAM_RATIO_7,TB_TOTNBRDLINITIAL_64QAM_RATIO_8,SUM_QosFlow.PdcpPduVolumeDL_Filter,SUM_RLF_VALUE,SUM_TB.TotNbrDl.1,SUM_ES_ON_COST,SUM_DRB.PdcpSduDelayDl.UEID (pdcpLatency),ZERO_COUNT,latency_cell_ms,latency_ue_ms,reward
1760709784100,10,965.1857142857143,1025.532110091743,1034.1777777777777,945.7865168539325,950.6132075471698,1017.3546511627907,770.6439790575917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135126.0,111783.0,46538.0,84175.0,403060.0,174985.0,147193.0,13.21629,13.21629,13.21629,13.21629,13.21629,13.21629,13.21629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4388489208633095,0.7194244604316548,0.7194244604316548,7.194244604316547e-06,4.316546762589928,2.158273381294964,2.877697841726619,2.0,1.0,1.0,1e-05,6.0,3.0,4.0,0.9785714285714285,0.963302752293578,0.9777777777777777,0.8876404494382022,0.9457547169811321,0.9825581395348837,0.5863874345549738,1102860.0,0.0,1170.0,0.0,13.21629,0.0,13.21629,13.21629,551430.4985462081
1760709784200,11,991.7291666666666,1019.3524590163935,830.4774193548387,964.4074074074074,940.9971428571429,999.090395480226,1023.4639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95206.0,124361.0,128724.0,26039.0,329349.0,176839.0,297828.0,14.328061,14.328061,14.328061,14.328061,14.328061,14.328061,14.328061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,7.194244604316547e-06,1.4388489208633095,7.194244604316547e-06,4.316546762589928,2.158273381294964,1.4388489208633095,1e-05,1e-05,2.0,1e-05,6.0,3.0,2.0,0.9479166666666666,0.9426229508196722,0.9161290322580645,0.9629629629629629,0.8742857142857143,0.9491525423728814,0.9725085910652921,1178346.0,0.0,1218.0,0.0,14.328061000000002,0.0,14.328061000000002,14.328061000000002,589173.4984239133
1760709784300,12,839.3413173652694,979.9833333333333,809.7042253521126,552.5,845.8641304347826,1050.1535087719299,725.2897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140170.0,235196.0,57489.0,1105.0,311278.0,239435.0,77606.0,17.962032,17.962032,17.962032,17.962032,17.962032,17.962032,17.962032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,1.4388489208633095,0.7194244604316548,7.194244604316547e-06,5.0359712230215825,1.4388489208633095,1.4388489208633095,1e-05,2.0,1.0,1e-05,7.0,2.0,2.0,0.8802395209580839,0.9583333333333334,0.9859154929577465,0.5,0.8885869565217391,0.9824561403508771,0.9252336448598131,1062279.0,0.0,1183.0,0.0,17.962031999999997,0.0,17.962031999999997,17.962031999999997,531139.9980241765
1760709784400,13,929.75,796.3896103896104,793.3645833333334,665.7368421052631,625.88,1000.4186666666667,951.7476635514018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487189.0,183966.0,76163.0,12649.0,234705.0,375157.0,101837.0,19.575817,19.575817,19.575817,19.575817,19.575817,19.575817,19.575817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316546762589928,3.597122302158273,1.4388489208633095,7.194244604316547e-06,5.755395683453238,2.877697841726619,1.4388489208633095,6.0,5.0,2.0,1e-05,8.0,4.0,2.0,0.9427480916030534,0.7792207792207793,0.9791666666666666,0.7894736842105263,0.56,0.968,0.897196261682243,1471666.0,0.0,1727.0,0.0,19.575817,0.0,19.575817,19.575817,735833.4978466601
1760709784500,14,887.0485436893204,1026.3530805687203,571.795918367347,0.0,757.4652173913043,922.175,859.7619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274098.0,433121.0,56036.0,0.0,174217.0,331983.0,18055.0,22.893847,22.893847,22.893847,22.893847,22.893847,22.893847,22.893847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158273381294964,4.316546762589928,1.4388489208633095,7.194244604316547e-06,2.877697841726619,4.316546762589928,7.194244604316547e-06,3.0,6.0,2.0,1e-05,4.0,6.0,1e-05,0.8155339805825242,0.9620853080568721,0.7551020408163265,1e-05,0.6434782608695652,0.9611111111111111,0.8095238095238095,1287510.0,0.0,1440.00001,0.0,22.893846999999997,0.0,22.893846999999997,22.893846999999997,643755.4974816769
1760709784600,15,822.6918918918919,992.1598513011153,1020.8941176470588,936.1137724550898,915.3846153846154,828.8117870722433,900.9577464788732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152198.0,533782.0,86776.0,156331.0,95200.0,435955.0,63968.0,19.913443,19.913443,19.913443,19.913443,19.913443,19.913443,19.913443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4388489208633095,6.474820143884892,0.7194244604316548,7.194244604316547e-06,1.4388489208633095,5.755395683453238,7.194244604316547e-06,2.0,9.0,1.0,1e-05,2.0,8.0,1e-05,0.8702702702702703,0.9944237918215614,0.9647058823529412,0.9221556886227545,0.9903846153846154,0.8346007604562737,0.8732394366197183,1524210.0,0.0,1676.0,0.0,19.913443,0.0,19.913443,19.913443,762105.4978095213
1760709784700,16,994.8013100436681,1051.2643678160919,945.4722222222222,951.7,1043.2147651006712,1051.1920731707316,1056.3387096774193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455619.0,182920.0,34037.0,9517.0,310878.0,344791.0,130986.0,23.16606,23.16606,23.16606,23.16606,23.16606,23.16606,23.16606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158273381294964,2.158273381294964,7.194244604316547e-06,7.194244604316547e-06,1.4388489208633095,4.316546762589928,1.4388489208633095,3.0,3.0,1e-05,1e-05,2.0,6.0,2.0,0.8930131004366813,0.9885057471264368,0.8888888888888888,0.9,0.9798657718120806,0.9969512195121951,1.0,1468748.0,0.0,1428.0,0.0,23.166059999999998,0.0,23.166059999999998,23.166059999999998,734374.4974517334
1760709784800,17,930.0044642857143,991.8603351955308,1042.8360655737704,995.2105263157895,1036.2746666666667,1046.9766839378237,780.5268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208321.0,177543.0,127226.0,18909.0,388603.0,404133.0,160008.0,23.712752,23.712752,23.712752,23.712752,23.712752,23.712752,23.712752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.877697841726619,2.158273381294964,7.194244604316547e-06,7.194244604316547e-06,4.316546762589928,4.316546762589928,7.194244604316547e-06,4.0,3.0,1e-05,1e-05,6.0,6.0,1e-05,0.7857142857142857,0.9385474860335196,0.9754098360655737,1.0,0.9866666666666667,0.9922279792746114,0.8536585365853658,1484743.0,0.0,1510.0,0.0,23.712752,0.0,23.712752,23.712752,742371.9973915973
1760709784900,18,930.888178913738,1054.5375939849623,769.0508474576271,917.1428571428571,988.8897058823529,991.618025751073,862.9035532994924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291368.0,280507.0,90748.0,6420.0,403467.0,231047.0,169992.0,19.332041,19.332041,19.332041,19.332041,19.332041,19.332041,19.332041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.877697841726619,2.877697841726619,7.194244604316547e-06,7.194244604316547e-06,5.0359712230215825,3.597122302158273,2.877697841726619,4.0,4.0,1e-05,1e-05,7.0,5.0,4.0,0.9552715654952076,0.9887218045112782,0.9067796610169492,0.8571428571428571,0.9901960784313726,0.9055793991416309,0.9796954314720813,1473549.0,0.0,1542.0,0.0,19.332041,0.0,19.332041,19.332041,736774.9978734755
1760709785000,19,906.8537313432836,1040.2605633802816,816.9690721649484,1014.7105263157895,1060.5365853658536,1028.5738636363637,866.39375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303796.0,295434.0,158492.0,77118.0,217410.0,181029.0,138623.0,19.383045,19.383045,19.383045,19.383045,19.383045,19.383045,19.383045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158273381294964,2.877697841726619,1.4388489208633095,7.194244604316547e-06,2.877697841726619,1.4388489208633095,1.4388489208633095,3.0,4.0,2.0,1e-05,4.0,2.0,2.0,0.9164179104477612,0.9894366197183099,0.9123711340206185,0.9473684210526315,1.0,0.9715909090909091,0.975,1371902.0,0.0,1430.0,0.0,19.383045,0.0,19.383045,19.383045,685951.497867865
1760709785100,20,995.5772870662461,905.3913043478261,742.8473684210526,1063.0,1063.0,998.1693811074919,972.2684563758389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315598.0,20824.0,141141.0,105237.0,207285.0,306438.0,289736.0,17.114615,17.114615,17.114615,17.114615,17.114615,17.114615,17.114615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4388489208633095,7.194244604316547e-06,1.4388489208633095,1.4388489208633095,2.877697841726619,2.877697841726619,2.877697841726619,2.0,1e-05,2.0,2.0,4.0,4.0,4.0,0.9211356466876972,0.8260869565217391,0.7473684210526316,1.0,1.0,0.9413680781758957,0.959731543624161,1386259.0,0.0,1429.0,0.0,17.114615,0.0,17.114615,17.114615,693129.9981173923
1760709785200,21,856.8830769230769,897.4163090128756,42.0,808.6111111111111,1013.9519230769231,1054.5804020100502,905.9230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278487.0,209098.0,42.0,87330.0,210902.0,419723.0,11777.0,18.96164,18.96164,18.96164,18.96164,18.96164,18.96164,18.96164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316546762589928,2.158273381294964,7.194244604316547e-06,1.4388489208633095,1.4388489208633095,5.755395683453238,7.194244604316547e-06,6.0,3.0,1e-05,2.0,2.0,8.0,1e-05,0.7261538461538461,0.9356223175965666,0.0,0.9629629629629629,0.9807692307692307,0.9949748743718593,0.8461538461538461,1217359.0,0.0,1286.0,0.0,18.96164,0.0,18.96164,18.96164,608679.9979142196
1760713534622,0,314.5,272.72222222222223,546.8,255.4,239.05555555555554,0.0,366.9714285714286,0.0,0.0,0.0,0.0,0.0,0.9,0.0,2516.0,4909.0,5468.0,1277.0,4303.0,0.0,12844.0,28.182985,28.182985,28.182985,28.182985,28.182985,0.0,28.182985,0.0,0.0,18.181818181818183,0.0,0.0,0.0,7.142857142857142,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,7.194244604316547e-06,1e-05,1e-05,1e-05,1e-05,1e-05,0.0,1e-05,0.25,0.2222222222222222,0.6,0.2,0.16666666666666666,0.0,0.42857142857142855,31317.0,3.0,94.0,0.9,24.156844285714282,1.0,24.156844285714282,24.156844285714282,15640.747342747129
1760713534722,1,180.46153846153845,0.0,528.375,710.25,917.1428571428571,654.6,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.9,2346.0,0.0,4227.0,2841.0,6420.0,3273.0,0.0,0.773399,0.0,0.773399,0.773399,0.773399,0.773399,0.0,0.0,0.0,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.194244604316547e-06,0.0,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,7.194244604316547e-06,0.0,1e-05,0.0,1e-05,1e-05,1e-05,1e-05,0.0,0.0,0.0,0.75,0.75,0.8571428571428571,0.6,0.0,19107.0,4.0,37.0,1.8,0.5524278571428571,2.0,0.5524278571428571,0.5524278571428571,9539.359939232936
1760715034727,0,174.78644314868805,680.060606060606,0.0,0.0,906.1618497109827,920.6547619047619,202.63113006396588,0.0,0.0,0.9,0.9,0.0,0.0,0.0,239807.0,336630.0,0.0,0.0,313532.0,154670.0,475170.0,91.730381,91.730381,0.0,0.0,91.730381,91.730381,91.730381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.02877697841727,36.69064748201439,0.0,0.0,29.496402877697843,19.424460431654676,65.46762589928058,89.0,51.0,0.0,0.0,41.0,27.0,91.0,0.22230320699708456,0.7434343434343434,0.0,0.0,0.9421965317919075,0.7202380952380952,0.5697228144989339,1519809.0,0.0,4726.0,1.8,65.5217007142857,4.0,65.5217007142857,65.5217007142857,756313.0527926128
1760715034827,1,225.37348629700446,823.9416666666667,0.0,0.0,984.8823529411765,966.032967032967,209.714527742482,0.0,0.0,0.81,0.81,0.0,0.0,0.0,353611.0,395492.0,0.0,0.0,368346.0,175818.0,495136.0,176.007616,176.007616,0.0,0.0,176.007616,176.007616,176.007616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.97841726618705,46.043165467625904,0.0,0.0,32.37410071942446,18.705035971223023,79.13669064748201,107.0,64.0,0.0,0.0,45.0,26.0,110.0,0.3384321223709369,0.925,0.0,0.0,1.0,0.8791208791208791,0.5696738670055062,1788403.0,0.0,4966.0,1.62,125.71972571428572,6.0,125.71972571428572,125.71972571428572,888540.5841708302
