Timestamp UNIX Id State
0.1 1761058001385 2 1
0.1 1761058001385 3 1
0.1 1761058001385 4 1
0.1 1761058001385 5 1
0.1 1761058001385 6 1
0.1 1761058001385 7 1
0.1 1761058001385 8 1
0.2 1761058001485 2 1
0.2 1761058001485 3 1
0.2 1761058001485 4 1
0.2 1761058001485 5 1
0.2 1761058001485 6 1
0.2 1761058001485 7 1
0.2 1761058001485 8 1
0.3 1761058001585 2 1
0.3 1761058001585 3 1
0.3 1761058001585 4 1
0.3 1761058001585 5 1
0.3 1761058001585 6 1
0.3 1761058001585 7 1
0.3 1761058001585 8 1
0.4 1761058001685 2 1
0.4 1761058001685 3 1
0.4 1761058001685 4 1
0.4 1761058001685 5 1
0.4 1761058001685 6 1
0.4 1761058001685 7 1
0.4 1761058001685 8 1
0.5 1761058001785 2 1
0.5 1761058001785 3 1
0.5 1761058001785 4 1
0.5 1761058001785 5 1
0.5 1761058001785 6 1
0.5 1761058001785 7 1
0.5 1761058001785 8 1
0.6 1761058001885 2 1
0.6 1761058001885 3 1
0.6 1761058001885 4 1
0.6 1761058001885 5 1
0.6 1761058001885 6 1
0.6 1761058001885 7 1
0.6 1761058001885 8 1
0.7 1761058001985 2 1
0.7 1761058001985 3 1
0.7 1761058001985 4 1
0.7 1761058001985 5 1
0.7 1761058001985 6 1
0.7 1761058001985 7 1
0.7 1761058001985 8 1
0.8 1761058002085 2 1
0.8 1761058002085 3 1
0.8 1761058002085 4 1
0.8 1761058002085 5 1
0.8 1761058002085 6 1
0.8 1761058002085 7 1
0.8 1761058002085 8 1
0.9 1761058002185 2 1
0.9 1761058002185 3 1
0.9 1761058002185 4 1
0.9 1761058002185 5 1
0.9 1761058002185 6 1
0.9 1761058002185 7 1
0.9 1761058002185 8 1
1 1761058002285 2 1
1 1761058002285 3 1
1 1761058002285 4 1
1 1761058002285 5 1
1 1761058002285 6 1
1 1761058002285 7 1
1 1761058002285 8 1
1.1 1761058002385 2 1
1.1 1761058002385 3 1
1.1 1761058002385 4 1
1.1 1761058002385 5 1
1.1 1761058002385 6 1
1.1 1761058002385 7 1
1.1 1761058002385 8 1
1.2 1761058002485 2 1
1.2 1761058002485 3 1
1.2 1761058002485 4 1
1.2 1761058002485 5 1
1.2 1761058002485 6 1
1.2 1761058002485 7 1
1.2 1761058002485 8 1
1.3 1761058002585 2 1
1.3 1761058002585 3 1
1.3 1761058002585 4 1
1.3 1761058002585 5 1
1.3 1761058002585 6 1
1.3 1761058002585 7 1
1.3 1761058002585 8 1
1.4 1761058002685 2 1
1.4 1761058002685 3 1
1.4 1761058002685 4 1
1.4 1761058002685 5 1
1.4 1761058002685 6 1
1.4 1761058002685 7 1
1.4 1761058002685 8 1
1.5 1761058002785 2 1
1.5 1761058002785 3 1
1.5 1761058002785 4 1
1.5 1761058002785 5 1
1.5 1761058002785 6 1
1.5 1761058002785 7 1
1.5 1761058002785 8 1
1.6 1761058002885 2 1
1.6 1761058002885 3 1
1.6 1761058002885 4 1
1.6 1761058002885 5 1
1.6 1761058002885 6 1
1.6 1761058002885 7 1
1.6 1761058002885 8 1
1.7 1761058002985 2 1
1.7 1761058002985 3 1
1.7 1761058002985 4 1
1.7 1761058002985 5 1
1.7 1761058002985 6 1
1.7 1761058002985 7 1
1.7 1761058002985 8 1
1.8 1761058003085 2 1
1.8 1761058003085 3 1
