timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1761058001385,00011,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00043,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00055,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00057,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00058,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00012,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00061,111,6,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001485,00011,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,6,4,1,1,4,2,830,0.173750,1,0,0,1,1,3,0,0,0,0,3,3,0,0,392.577684,0.000000
1761058001485,00043,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,3,3,2,0,1,0,200,0.124107,2,0,0,0,1,0,0,0,0,0,0,0,3,0,181.333394,0.000000
1761058001485,00055,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,5,3,1,0,4,2,841,0.148929,1,0,0,0,0,4,0,0,0,0,0,0,5,0,181.333394,0.000000
1761058001485,00057,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,149,133,3,0,146,16,124503,15.314821,3,0,0,0,1,145,0,0,0,0,0,0,149,0,9284.662949,10890.000000
1761058001485,00058,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,4,4,2,1,1,0,258,0.148929,1,1,1,1,0,0,0,0,0,2,2,0,0,0,750.346898,0.000000
1761058001485,00012,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,6,4,2,0,4,2,687,0.198571,2,0,0,0,4,0,0,0,0,0,2,3,1,0,186.666729,0.000000
1761058001485,00061,111,6,139,139,1,38,0,404,313,14,81,309,54,91,309182,13,1,53,70,89,178,0,0,0,2,142,82,178,0,7,231,162,3,79,149,69,181863,39.739107,3,0,52,68,82,26,0,0,0,0,135,76,20,0,7572.214983,10480.000000
1761058001585,00011,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.577684,0.000000
1761058001585,00043,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001585,00055,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001585,00057,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,185,167,0,0,185,18,183168,22.537857,0,0,0,0,16,169,0,0,0,0,0,0,185,0,10102.642501,15610.000000
1761058001585,00058,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.346898,0.000000
1761058001585,00012,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.666729,0.000000
1761058001585,00061,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,172,172,0,0,172,0,164763,19.112500,0,0,0,0,0,172,0,0,0,1,0,0,171,1310,9056.053521,16870.000000
1761058001585,00038,111,6,139,139,1,29,0,367,344,3,4,360,41,23,348979,3,0,4,0,19,341,0,3,2,3,3,0,356,1364,8,10,5,3,4,3,5,1048,0.189823,3,0,4,0,3,0,0,3,2,2,3,0,0,54,230.128638,20.000000
1761058001685,00011,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.577684,0.000000
1761058001685,00043,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,1,1,1,0,0,0,15,0.049643,1,0,0,0,0,0,0,0,0,0,0,0,1,0,186.666729,0.000000
1761058001685,00055,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001685,00057,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,260,209,0,0,260,51,194890,24.970357,0,0,0,0,61,199,0,0,0,0,0,0,260,461,9049.549367,14880.000000
1761058001685,00058,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.346898,0.000000
1761058001685,00012,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.666729,0.000000
1761058001685,00061,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,419,288,142,258,19,131,214985,80.843393,16,126,189,82,0,6,0,0,0,203,215,1,0,8729,7021.566334,4500.000000
1761058001685,00038,111,6,139,139,1,75,0,699,511,151,265,283,105,188,411328,24,127,193,89,61,205,0,0,4,207,226,1,261,9352,8,19,13,8,7,4,6,1438,1.141786,7,1,4,7,0,0,0,0,4,4,11,0,0,162,312.137777,90.000000
1761058001785,00011,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.577684,0.000000
1761058001785,00043,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,11,7,0,2,9,4,1865,0.322679,0,0,1,2,5,3,0,0,0,0,3,4,4,0,336.635959,30.000000
1761058001785,00055,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001785,00057,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,246,186,0,0,246,60,189584,24.573214,0,0,0,0,68,178,0,0,0,0,0,0,246,0,8651.574614,13100.000000
1761058001785,00058,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.346898,0.000000
1761058001785,00012,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.666729,0.000000
1761058001785,00061,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,353,268,56,174,123,85,205909,61.532321,0,56,138,109,50,0,0,0,0,21,297,35,0,440,6726.505002,7330.000000
1761058001785,00038,111,6,139,139,1,61,0,630,472,69,179,382,86,158,399298,8,61,141,116,123,181,4,8,0,26,303,39,250,440,8,20,11,13,3,4,9,1940,1.588571,8,5,2,5,0,0,4,8,0,5,3,0,0,0,361.312313,50.000000
1761058001885,00011,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.577684,0.000000
1761058001885,00043,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,18,10,0,0,18,8,2880,0.446786,0,0,0,2,10,6,0,0,0,0,10,3,5,0,337.837927,40.000000
1761058001885,00055,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001885,00057,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,252,216,0,0,252,36,180009,23.332143,0,0,0,0,58,194,0,0,0,0,0,0,252,1310,8412.109653,11310.000000
1761058001885,00058,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.346898,0.000000
1761058001885,00012,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.666729,0.000000
1761058001885,00061,111,6,139,139,1,66,0,667,499,9,201,457,92,168,454516,0,9,130,140,188,200,0,0,0,17,312,81,257,55020,7,397,273,9,201,187,124,271627,69.673750,0,9,130,138,120,0,0,0,0,17,302,78,0,53710,6883.464560,7120.000000
1761058001985,00011,111,6,139,139,1,79,0,740,520,253,167,320,111,220,391627,73,180,136,42,154,155,0,0,24,287,120,4,305,182371,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.577684,0.000000
1761058001985,00043,111,6,139,139,1,79,0,740,520,253,167,320,111,220,391627,73,180,136,42,154,155,0,0,24,287,120,4,305,182371,7,12,8,0,3,9,4,1835,0.322679,0,0,2,2,2,6,0,0,0,0,4,4,4,0,348.872862,50.000000
1761058001985,00055,111,6,139,139,1,79,0,740,520,253,167,320,111,220,391627,73,180,136,42,154,155,0,0,24,287,120,4,305,182371,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1761058001985,00057,111,6,139,139,1,79,0,740,520,253,167,320,111,220,391627,73,180,136,42,154,155,0,0,24,287,120,4,305,182371,7,301,231,0,0,301,70,222645,29.686429,0,0,0,0,152,149,0,0,0,0,0,0,301,281,8078.118893,18130.000000
