timestamp,cellId,hoAllowed, 'ueId','nrCellId
1761058001385,ES,2,0
1761058001385,ES,3,1
1761058001385,ES,4,0
1761058001385,ES,5,1
1761058001385,ES,6,0
1761058001385,ES,7,1
1761058001385,ES,8,1
1761058001385,TS,1,6
1761058001385,TS,2,1
1761058001385,TS,3,5
1761058001385,TS,4,5
1761058001385,TS,5,5
1761058001385,TS,6,3
1761058001385,TS,7,6
1761058001385,TS,8,3
1761058001385,TS,9,6
1761058001385,TS,10,1
1761058001385,TS,11,5
1761058001385,TS,12,2
1761058001385,TS,13,4
1761058001385,TS,14,8
1761058001385,TS,15,4
1761058001385,TS,16,4
1761058001385,TS,17,6
1761058001385,TS,18,2
1761058001385,TS,19,6
1761058001385,TS,20,2
1761058001385,TS,21,8
1761058001385,TS,23,2
1761058001385,TS,24,6
1761058001385,TS,25,8
1761058001385,TS,26,8
1761058001385,TS,27,7
1761058001385,TS,28,4
1761058001385,TS,29,3
1761058001385,TS,30,1
1761058001385,TS,32,8
1761058001385,TS,33,3
1761058001385,TS,34,1
1761058001385,TS,35,5
1761058001385,TS,36,6
1761058001385,TS,38,3
1761058001385,TS,39,7
1761058001385,TS,40,7
1761058001385,TS,41,5
1761058001385,TS,43,3
1761058001385,TS,44,3
1761058001385,TS,45,1
1761058001385,TS,46,7
1761058001385,TS,47,4
1761058001385,TS,48,6
1761058001385,TS,50,3
1761058001385,TS,51,6
1761058001385,TS,52,8
1761058001385,TS,53,2
1761058001385,TS,54,4
1761058001385,TS,55,5
1761058001385,TS,56,4
1761058001385,TS,57,3
1761058001385,TS,58,7
1761058001385,TS,59,8
1761058001385,TS,60,5
1761058001385,TS,61,7
1761058001385,TS,62,5
1761058001385,TS,63,3
1761058001485,ES,2,0
1761058001485,ES,3,0
1761058001485,ES,4,0
1761058001485,ES,5,0
1761058001485,ES,6,1
1761058001485,ES,7,1
1761058001485,ES,8,1
1761058001485,TS,1,4
1761058001485,TS,2,5
1761058001485,TS,3,1
1761058001485,TS,4,5
1761058001485,TS,5,4
1761058001485,TS,6,6
1761058001485,TS,7,3
1761058001485,TS,8,4
1761058001485,TS,10,7
1761058001485,TS,11,1
1761058001485,TS,12,7
1761058001485,TS,13,5
1761058001485,TS,14,8
1761058001485,TS,16,4
1761058001485,TS,17,7
1761058001485,TS,18,5
1761058001485,TS,19,6
1761058001485,TS,20,7
1761058001485,TS,21,5
1761058001485,TS,22,8
