timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1761058001385,00005,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00017,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00018,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00022,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00023,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00035,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00047,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001385,00060,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1761058001485,00005,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,169,134,3,0,166,35,150652,22.463393,3,0,0,0,131,35,0,0,0,0,1,76,92,50,9006.085841,11730.000000
1761058001485,00017,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,205,140,3,0,202,65,185915,30.058750,3,0,0,0,177,25,0,0,0,0,2,143,60,0,8580.575838,11000.000000
1761058001485,00018,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,3,3,3,0,0,0,45,0.148929,3,0,0,0,0,0,0,0,1,2,0,0,0,0,181.333394,0.000000
1761058001485,00022,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,4,4,2,0,2,0,315,0.124107,2,0,0,0,2,0,0,0,0,0,0,3,1,0,181.333394,0.000000
1761058001485,00023,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,6,6,6,0,0,0,184,0.248214,4,2,0,0,0,0,0,0,2,4,0,0,0,0,672.963684,0.000000
1761058001485,00035,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,5,3,5,0,0,2,80,0.223393,5,0,0,0,0,0,0,1,3,1,0,0,0,0,186.666729,0.000000
1761058001485,00047,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,7,5,7,0,0,2,350,0.372321,4,3,0,0,0,0,0,0,6,1,0,0,0,0,364.402437,0.000000
1761058001485,00060,111,3,139,139,1,37,0,406,300,36,0,370,52,106,337905,28,8,0,0,310,60,0,1,17,10,3,222,153,50,8,7,5,7,0,0,2,364,0.372321,4,3,0,0,0,0,0,0,5,2,0,0,0,0,393.970285,0.000000
1761058001585,00005,111,3,139,139,1,51,0,512,372,1,5,506,72,140,428949,1,0,0,94,341,76,0,0,0,0,180,235,97,2817,7,259,197,0,5,254,62,196965,39.962500,0,0,0,93,166,0,0,0,0,0,163,96,0,1507,8394.568980,13620.000000
