timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),eNB id,sameCellSinr,sameCellSinr 3gpp encoded
1761058001385,00031,63,51,1,0,1,26.264531,99.000000
1761058001385,00059,63,51,1,0,1,24.168791,95.000000
1761058001385,00005,63,51,1,0,1,24.779788,96.000000
1761058001385,00024,63,51,1,0,1,24.320138,95.000000
1761058001385,00033,63,51,1,0,1,24.549936,96.000000
1761058001385,00030,63,51,1,0,1,26.168322,99.000000
1761058001385,00013,63,51,1,0,1,66.762009,127.000000
1761058001385,00007,63,51,1,0,1,30.278048,107.000000
1761058001385,00037,63,51,1,0,1,28.229020,103.000000
1761058001385,00038,63,51,1,0,1,25.485132,98.000000
1761058001385,00048,63,51,1,0,1,34.949120,117.000000
1761058001385,00025,63,51,1,0,1,26.886840,101.000000
1761058001385,00027,63,51,1,0,1,25.218967,97.000000
1761058001385,00001,63,51,1,0,1,24.938328,97.000000
1761058001385,00036,63,51,1,0,1,32.875664,113.000000
1761058001385,00058,63,51,1,0,1,26.540373,100.000000
1761058001385,00049,63,51,1,0,1,29.484436,106.000000
1761058001385,00051,63,51,1,0,1,26.400807,100.000000
1761058001385,00016,63,51,1,0,1,24.186453,95.000000
1761058001385,00015,63,51,1,0,1,23.988307,95.000000
1761058001385,00019,63,51,1,0,1,24.750417,96.000000
1761058001385,00026,63,51,1,0,1,25.907082,99.000000
1761058001385,00043,63,51,1,0,1,23.731863,94.000000
1761058001385,00020,63,51,1,0,1,26.029759,99.000000
1761058001385,00009,63,51,1,0,1,25.473935,98.000000
1761058001385,00010,63,51,1,0,1,30.152880,107.000000
1761058001385,00063,63,51,1,0,1,26.577649,100.000000
1761058001385,00042,63,51,1,0,1,48.169531,127.000000
1761058001385,00044,63,51,1,0,1,28.320305,103.000000
1761058001385,00055,63,51,1,0,1,23.951981,95.000000
1761058001385,00014,63,51,1,0,1,27.886030,103.000000
1761058001385,00050,63,51,1,0,1,33.283584,113.000000
1761058001385,00057,63,51,1,0,1,24.417079,96.000000
1761058001385,00053,63,51,1,0,1,27.055312,101.000000
1761058001385,00054,63,51,1,0,1,25.923618,99.000000
1761058001385,00047,63,51,1,0,1,25.383153,98.000000
1761058001385,00006,63,51,1,0,1,45.316787,127.000000
1761058001385,00052,63,51,1,0,1,30.694960,108.000000
1761058001385,00018,63,51,1,0,1,25.475504,98.000000
1761058001385,00060,63,51,1,0,1,26.134149,99.000000
1761058001385,00002,63,51,1,0,1,29.139346,105.000000
1761058001385,00008,63,51,1,0,1,25.961327,99.000000
1761058001385,00046,63,51,1,0,1,26.433350,100.000000
1761058001385,00041,63,51,1,0,1,24.124287,95.000000
1761058001385,00017,63,51,1,0,1,26.214938,99.000000
1761058001385,00056,63,51,1,0,1,25.647644,98.000000
1761058001385,00035,63,51,1,0,1,26.986674,101.000000
1761058001385,00021,63,51,1,0,1,25.938919,99.000000
1761058001385,00040,63,51,1,0,1,31.113501,109.000000
1761058001385,00039,63,51,1,0,1,29.670139,106.000000
1761058001385,00028,63,51,1,0,1,35.453064,118.000000
1761058001385,00062,63,51,1,0,1,23.797856,94.000000
1761058001385,00011,63,51,1,0,1,24.775698,96.000000
1761058001385,00032,63,51,1,0,1,29.552196,106.000000
1761058001385,00029,63,51,1,0,1,27.231504,101.000000
1761058001385,00023,63,51,1,0,1,29.355359,106.000000
1761058001385,00034,63,51,1,0,1,23.481309,94.000000
1761058001385,00003,63,51,1,0,1,25.566581,98.000000
1761058001385,00045,63,51,1,0,1,33.787822,114.000000
1761058001385,00004,63,51,1,0,1,33.031885,113.000000
1761058001385,00022,63,51,1,0,1,23.487777,94.000000
1761058001385,00061,63,51,1,0,1,24.209357,95.000000
1761058001385,00012,63,51,1,0,1,23.984917,95.000000
1761058001485,00031,63,63,1,0,1,26.267119,99.000000
1761058001485,00059,63,63,1,0,1,24.166787,95.000000
1761058001485,00005,63,63,1,0,1,24.782434,96.000000
1761058001485,00024,63,63,1,0,1,24.318177,95.000000
1761058001485,00033,63,63,1,0,1,24.549473,96.000000
1761058001485,00030,63,63,1,0,1,26.168168,99.000000
1761058001485,00013,63,63,1,0,1,67.078929,127.000000
1761058001485,00007,63,63,1,0,1,30.283127,107.000000
1761058001485,00037,63,63,1,0,1,28.232147,103.000000
1761058001485,00038,63,63,1,0,1,25.486781,98.000000
1761058001485,00048,63,63,1,0,1,34.942572,117.000000
1761058001485,00025,63,63,1,0,1,26.887589,101.000000
1761058001485,00027,63,63,1,0,1,25.220136,97.000000
1761058001485,00001,63,63,1,0,1,24.939697,97.000000
1761058001485,00036,63,63,1,0,1,32.867325,113.000000
1761058001485,00058,63,63,1,0,1,26.538408,100.000000
1761058001485,00049,63,63,1,0,1,29.486858,106.000000
1761058001485,00051,63,63,1,0,1,26.402583,100.000000
1761058001485,00016,63,63,1,0,1,24.185666,95.000000
1761058001485,00015,63,63,1,0,1,23.988317,95.000000
1761058001485,00019,63,63,1,0,1,24.752940,96.000000
1761058001485,00026,63,63,1,0,1,25.904438,99.000000
1761058001485,00043,63,63,1,0,1,23.731524,94.000000
1761058001485,00020,63,63,1,0,1,26.030788,99.000000
1761058001485,00009,63,63,1,0,1,25.477423,98.000000
1761058001485,00010,63,63,1,0,1,30.157032,107.000000
1761058001485,00063,63,63,1,0,1,26.578709,100.000000
1761058001485,00042,63,63,1,0,1,48.131954,127.000000
1761058001485,00044,63,63,1,0,1,28.320141,103.000000
